session_id,mentor_id,student_hash,duration_minutes,topic,summary_bullets,next_steps,was_escalated,escalation_reason,student_rating,created_at
SS001,SAH001,e3b0c44298fc1c149afbf4c8996fb924,45,"Career guidance in computer science","[""Discussed programming language preferences"", ""Explored internship opportunities"", ""Reviewed portfolio projects""]","[""Complete Python course"", ""Build GitHub portfolio"", ""Apply for summer internships""]",false,,5,2024-08-15T10:00:00Z
SS002,SAH003,27ae60c43cd9be9e44ea7de9e52a78fb,60,"Stress management and wellness","[""Identified stress triggers"", ""Practiced breathing techniques"", ""Discussed time management""]","[""Implement daily meditation"", ""Use time-blocking technique"", ""Schedule regular breaks""]",false,,4,2024-08-15T14:00:00Z
SS003,SAH005,a665a45920422f9d417e4867efdc4fb8,90,"Crisis intervention and support","[""Addressed immediate safety concerns"", ""Connected with counseling services"", ""Developed safety plan""]","[""Attend counseling sessions"", ""Check-in call scheduled"", ""Emergency contact established""]",true,"Expressed self-harm thoughts",5,2024-08-15T16:00:00Z
SS004,SAH002,2bae4da10e3b7ae9d4a5a1cb8c8e4b7d,30,"Mathematics study strategies","[""Reviewed calculus concepts"", ""Suggested practice resources"", ""Discussed study schedule""]","[""Complete daily practice problems"", ""Join study group"", ""Schedule follow-up session""]",false,,4,2024-08-16T11:00:00Z
SS005,SAH004,3e23e8160039594a33894f6564e1b147,50,"Entrepreneurship and business planning","[""Discussed startup ideas"", ""Reviewed business model concepts"", ""Explored funding options""]","[""Research target market"", ""Develop MVP prototype"", ""Attend networking events""]",false,,5,2024-08-16T15:00:00Z
SS006,SAH007,fe5dbbcea5ce7e2988b8c69bcfdfde8b,40,"Data science career path","[""Explored ML/AI opportunities"", ""Discussed skill development"", ""Reviewed project portfolio""]","[""Complete machine learning course"", ""Work on real-world project"", ""Connect with industry professionals""]",false,,4,2024-08-17T09:00:00Z
SS007,SAH009,7d865e959b2466918c9863afca942d0f,35,"Creative writing and literature","[""Reviewed writing samples"", ""Discussed publication opportunities"", ""Explored career paths""]","[""Submit to literary magazine"", ""Join writers workshop"", ""Develop writing routine""]",false,,5,2024-08-17T13:00:00Z
SS008,SAH008,cb7e7d3fae32b98b18bb7f1b24fe5e87,55,"Cybersecurity career guidance","[""Discussed certification paths"", ""Reviewed practical labs"", ""Explored job market""]","[""Start CISSP preparation"", ""Practice ethical hacking"", ""Build security portfolio""]",false,,4,2024-08-18T10:00:00Z
SS009,SAH011,1f40fc92da241694750979ee6cf582f2,45,"Biology research opportunities","[""Explored research projects"", ""Discussed graduate school"", ""Reviewed lab experiences""]","[""Contact research professors"", ""Prepare for GRE"", ""Gain lab experience""]",false,,5,2024-08-18T14:00:00Z
SS010,SAH006,bd8b7df0659afe01b3d3b50eebe4f90a,60,"Web development mentoring","[""Reviewed JavaScript projects"", ""Discussed frameworks"", ""Explored job opportunities""]","[""Learn React.js"", ""Build portfolio website"", ""Practice coding interviews""]",false,,4,2024-08-19T11:00:00Z
SS011,SAH013,8b1a9953c4611296a827abf8c47804d7,40,"UI/UX design guidance","[""Reviewed design portfolio"", ""Discussed user research"", ""Explored design thinking""]","[""Complete UX certification"", ""Conduct user interviews"", ""Redesign mobile app""]",false,,5,2024-08-19T15:00:00Z
SS012,SAH015,32e3b4b4b9b4b5c5d5f5g5h5i5j5k5l5,50,"Journalism and media career","[""Discussed news writing"", ""Explored multimedia storytelling"", ""Reviewed internship options""]","[""Apply for media internships"", ""Start personal blog"", ""Develop news portfolio""]",false,,4,2024-08-20T09:00:00Z
SS013,SAH019,a9b9c9d9e9f9g9h9i9j9k9l9m9n9o9p9,70,"Legal career counseling","[""Discussed law school preparation"", ""Explored specialization areas"", ""Reviewed LSAT strategy""]","[""Take LSAT prep course"", ""Volunteer at legal aid"", ""Research law schools""]",false,,5,2024-08-20T13:00:00Z
SS014,SAH020,q1r1s1t1u1v1w1x1y1z1a2b2c2d2e2f2,35,"Music composition and performance","[""Reviewed musical compositions"", ""Discussed performance opportunities"", ""Explored career paths""]","[""Record demo tracks"", ""Perform at open mic"", ""Join music ensemble""]",false,,4,2024-08-21T10:00:00Z
SS015,SAH012,g3h3i3j3k3l3m3n3o3p3q3r3s3t3u3v3,45,"Engineering project guidance","[""Discussed robotics projects"", ""Explored automation concepts"", ""Reviewed technical skills""]","[""Build Arduino project"", ""Learn CAD software"", ""Join engineering club""]",false,,5,2024-08-21T14:00:00Z
SS016,SAH017,w4x4y4z4a5b5c5d5e5f5g5h5i5j5k5l5,40,"Education and teaching career","[""Discussed curriculum design"", ""Explored pedagogy methods"", ""Reviewed certification requirements""]","[""Complete teaching certification"", ""Volunteer as tutor"", ""Observe classroom teaching""]",false,,4,2024-08-22T11:00:00Z
SS017,SAH010,m6n6o6p6q6r6s6t6u6v6w6x6y6z6a7b7,55,"Economics and finance guidance","[""Discussed market analysis"", ""Explored quantitative finance"", ""Reviewed internship opportunities""]","[""Learn financial modeling"", ""Practice case studies"", ""Network with finance professionals""]",false,,5,2024-08-22T15:00:00Z
SS018,SAH014,c8d8e8f8g8h8i8j8k8l8m8n8o8p8q8r8,30,"Chemistry research support","[""Discussed lab techniques"", ""Explored research topics"", ""Reviewed safety protocols""]","[""Complete safety training"", ""Join research group"", ""Read recent publications""]",false,,4,2024-08-23T09:00:00Z
SS019,SAH018,s9t9u9v9w9x9y9z9a0b0c0d0e0f0g0h0,50,"Agriculture and sustainability","[""Discussed sustainable farming"", ""Explored environmental impact"", ""Reviewed career options""]","[""Visit organic farms"", ""Research sustainability practices"", ""Connect with agricultural organizations""]",false,,5,2024-08-23T13:00:00Z
SS020,SAH016,i1j1k1l1m1n1o1p1q1r1s1t1u1v1w1x1,60,"Project management guidance","[""Discussed agile methodologies"", ""Explored certification paths"", ""Reviewed leadership skills""]","[""Get PMP certification"", ""Lead student project"", ""Practice stakeholder management""]",false,,4,2024-08-24T10:00:00Z
